id_pedido,id_cliente,fecha,hora,id_departamento,id_seccion,id_producto,nombre_producto,precio_unitario,cantidad,precio_total
1,26,2024-10-16,1028,2,4,32,Coca Cola 2L,3.5,1,3.5
1,26,2024-10-16,1028,1,10,29,Galletas Integrales 400g,3.8,1,3.8
1,26,2024-10-16,1028,1,3,18,Plátanos kg,2.1,1,2.1
1,26,2024-10-16,1028,1,2,14,Costillas de Res kg,18.4,1,18.4
1,26,2024-10-16,1028,4,8,70,Cepillo de Dientes,2.8,2,5.6
2,204,2023-01-28,1949,4,8,70,Cepillo de Dientes,2.8,2,5.6
2,204,2023-01-28,1949,3,6,54,Jabón de Manos 300ml,2.4,3,7.2
2,204,2023-01-28,1949,1,10,29,Galletas Integrales 400g,3.8,1,3.8
2,204,2023-01-28,1949,3,7,58,Servilletas 200 unidades,2.4,3,7.2
3,349,2024-12-15,1665,2,4,32,Coca Cola 2L,3.5,1,3.5
3,349,2024-12-15,1665,2,4,35,Sprite 1.5L,2.8,1,2.8
3,349,2024-12-15,1665,2,4,38,Agua Con Gas 1L,1.8,3,5.4
4,827,2024-09-10,1341,1,1,2,Yogur Natural 500g,3.2,2,6.4
4,827,2024-09-10,1341,1,10,30,Tostadas 300g,2.9,3,8.7
5,592,2024-09-25,1540,1,3,25,Ajos kg,4.5,3,13.5
5,592,2024-09-25,1540,1,2,11,Lomo de Cerdo kg,15.8,1,15.8
5,592,2024-09-25,1540,1,10,30,Tostadas 300g,2.9,1,2.9
6,380,2024-01-09,1133,1,3,25,Ajos kg,4.5,1,4.5
6,380,2024-01-09,1133,2,4,36,Agua Mineral 1.5L,1.2,1,1.2
6,380,2024-01-09,1133,2,4,37,Jugo de Naranja 1L,4.5,3,13.5
6,380,2024-01-09,1133,2,4,39,Te Helado 1.5L,3.1,2,6.2
6,380,2024-01-09,1133,1,3,21,Lechuga unidad,1.5,1,1.5
7,235,2023-11-29,914,2,5,41,Vino Tinto 750ml,12.5,1,12.5
7,235,2023-11-29,914,3,6,52,Desinfectante 1L,3.8,3,11.4
7,235,2023-11-29,914,2,4,35,Sprite 1.5L,2.8,3,8.4
7,235,2023-11-29,914,1,2,9,Pollo Entero kg,5.2,1,5.2
8,406,2024-11-02,1822,3,7,59,Pañuelos Faciales 100 unidades,1.8,1,1.8
8,406,2024-11-02,1822,1,3,19,Tomates kg,4.2,2,8.4
8,406,2024-11-02,1822,2,4,34,Fanta Naranja 2L,3.2,1,3.2
8,406,2024-11-02,1822,1,3,18,Plátanos kg,2.1,2,4.2
9,371,2024-08-20,1617,2,5,40,Cerveza Lager 6pack,8.9,2,17.8
9,371,2024-08-20,1617,2,4,32,Coca Cola 2L,3.5,1,3.5
9,371,2024-08-20,1617,3,7,58,Servilletas 200 unidades,2.4,2,4.8
9,371,2024-08-20,1617,4,8,64,Champú 400ml,6.5,1,6.5
9,371,2024-08-20,1617,4,8,65,Acondicionador 400ml,6.8,1,6.8
9,371,2024-08-20,1617,4,8,66,Jabón Corporal 250ml,4.2,2,8.4
9,371,2024-08-20,1617,1,1,1,Leche Entera 1L,2.5,3,7.5
9,371,2024-08-20,1617,1,10,26,Pan Integral 500g,2.8,2,5.6
9,371,2024-08-20,1617,1,1,4,Mantequilla 250g,4.5,1,4.5
9,371,2024-08-20,1617,3,6,55,Blanqueador 1L,2.8,3,8.4
10,349,2023-10-01,2112,4,8,64,Champú 400ml,6.5,2,13.0
10,349,2023-10-01,2112,4,8,65,Acondicionador 400ml,6.8,1,6.8
10,349,2023-10-01,2112,4,8,66,Jabón Corporal 250ml,4.2,2,8.4
10,349,2023-10-01,2112,1,3,23,Zanahorias kg,2.2,3,6.6
11,204,2024-06-03,2047,2,5,40,Cerveza Lager 6pack,8.9,3,26.7
11,204,2024-06-03,2047,2,4,32,Coca Cola 2L,3.5,3,10.5
11,204,2024-06-03,2047,3,7,58,Servilletas 200 unidades,2.4,1,2.4
11,204,2024-06-03,2047,2,4,32,Coca Cola 2L,3.5,1,3.5
11,204,2024-06-03,2047,2,4,35,Sprite 1.5L,2.8,3,8.4
11,204,2024-06-03,2047,2,4,38,Agua Con Gas 1L,1.8,3,5.4
11,204,2024-06-03,2047,1,1,3,Queso Manchego 200g,8.9,1,8.9
11,204,2024-06-03,2047,1,2,15,Salchichas kg,6.8,1,6.8
11,204,2024-06-03,2047,2,5,47,Cerveza Sin Alcohol 6pack,7.2,1,7.2
12,132,2024-06-29,1057,1,2,11,Lomo de Cerdo kg,15.8,1,15.8
12,132,2024-06-29,1057,1,3,17,Manzanas Rojas kg,3.4,2,6.8
12,132,2024-06-29,1057,2,5,41,Vino Tinto 750ml,12.5,1,12.5
12,132,2024-06-29,1057,3,6,52,Desinfectante 1L,3.8,3,11.4
12,132,2024-06-29,1057,3,7,57,Toallas de Papel 6 rollos,7.2,1,7.2
12,132,2024-06-29,1057,3,6,53,Limpiador Multiuso 500ml,2.6,1,2.6
12,132,2024-06-29,1057,2,5,40,Cerveza Lager 6pack,8.9,1,8.9
12,132,2024-06-29,1057,2,4,32,Coca Cola 2L,3.5,1,3.5
12,132,2024-06-29,1057,3,7,58,Servilletas 200 unidades,2.4,2,4.8
13,8,2024-08-25,1251,1,2,9,Pollo Entero kg,5.2,2,10.4
13,8,2024-08-25,1251,1,3,24,Papas kg,1.9,1,1.9
13,8,2024-08-25,1251,1,3,23,Zanahorias kg,2.2,1,2.2
13,8,2024-08-25,1251,1,3,20,Cebollas kg,1.8,2,3.6
13,8,2024-08-25,1251,1,1,2,Yogur Natural 500g,3.2,2,6.4
13,8,2024-08-25,1251,1,10,30,Tostadas 300g,2.9,3,8.7
14,249,2024-08-13,1768,3,6,53,Limpiador Multiuso 500ml,2.6,1,2.6
14,249,2024-08-13,1768,1,3,25,Ajos kg,4.5,2,9.0
15,421,2023-12-29,1667,1,3,25,Ajos kg,4.5,1,4.5
15,421,2023-12-29,1667,2,4,36,Agua Mineral 1.5L,1.2,2,2.4
15,421,2023-12-29,1667,2,4,37,Jugo de Naranja 1L,4.5,1,4.5
